Group_name,ID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,exp_id
col0,Mo_col0,0.312999082,0.184863248,0.208930477,0.214409134,0.149291734,0.38115335,0.141741116,0.211602014,0.185231974,0,0.142419872,0,3
col0,Cd_col0,6.858447102,16.64102715,6.416623893,9.084070409,10.96946435,18.24776661,8.653759495,6.429088172,7.245288066,0,7.104090579,0,3
152-54,Li_152-54,9.946129182,16.8370837,10.26439702,15.41227761,12.17749109,15.28054934,12.28555929,16.13165736,11.00827753,13.01531229,10.04217902,10.68017684,3
152-54,B_152-54,143.6025171,83.93037063,76.73418685,112.0436739,83.74670875,42.48163928,105.184243,202.4061579,63.94711096,123.9802396,90.16947047,119.3445921,3
152-54,Na_152-54,1296.205222,1813.194215,1714.523934,1693.916836,2065.093652,1781.304001,1635.344448,1971.217384,1694.096238,1686.274965,1567.140302,1422.7718,3
152-54,Mg_152-54,25062.89462,24888.74899,27857.45977,26466.10648,26700.87778,24340.44555,27127.50769,26886.09561,26566.50919,28659.81565,28006.02621,26763.03104,3
152-54,P_152-54,20108.40514,17076.43632,19508.75181,19770.72634,21568.12878,16518.25957,18418.41121,16170.32385,19385.01427,18681.95391,19985.65558,20163.65313,3
152-54,K_152-54,99393.74595,79653.41392,79684.13475,71756.69713,76197.51091,73691.91163,66739.12915,58051.28217,66792.9248,69469.43349,90647.063,65968.74348,3
152-54,Ca_152-54,62142.1993,52343.672,65751.8507,60251.25269,64556.22452,52147.90649,66168.28499,63928.58783,64717.15471,60030.47427,64188.4366,65618.24541,3
152-54,Mn_152-54,196.4909324,170.0580768,188.2635423,141.6137414,141.2123316,183.8730903,202.9475118,182.6346955,204.5972749,168.1049244,167.1892265,199.8590054,3
152-54,Fe_152-54,195.1737879,134.3906122,146.2534409,150.0725729,133.6631337,193.7533708,137.7719992,127.4189555,121.4325505,123.6209712,133.2801566,121.7480074,3
152-54,Co_152-54,1.435011983,1.402370943,1.64130836,2.60073224,2.752282315,2.37768772,2.009867861,2.545543568,2.07911811,2.244120722,1.335348726,1.502134576,3
152-54,Ni_152-54,2.23948328,1.837129478,2.298826867,2.196787196,2.444670142,15.36615466,2.461082948,2.169189785,2.252210552,2.194476369,2.374908475,2.080206033,3
152-54,Cu_152-54,5.920395401,1.850470444,3.156799665,1.491765102,0.976456992,2.124438653,4.6263197,1.209745414,2.453091529,4.618231263,6.202335045,4.551467767,3
152-54,Zn_152-54,114.9630687,100.2141966,109.3257799,125.2695587,105.5476633,123.0576453,111.6124447,99.99152911,117.6492921,129.9898191,121.7542567,138.6970926,3
152-54,As_152-54,0.229351998,0.263130933,0.235356084,0.204123072,0.296041441,0.260240168,0.294108844,0.218517193,0.241458934,1.240455611,0.42028143,0.180556576,3
152-54,Se_152-54,1.196575066,0.553257703,0.466660432,0.969181364,0,0.764027467,0.66888045,0.021854297,0.413814812,0.135444166,0,0.002733885,3
152-54,Mo_152-54,0.394467874,0.094995525,0.238803613,0.139212294,0.126890022,0.105187535,0.307759465,0.125769185,0.176473938,0.28545503,0.472816609,0.215781632,3
152-54,Cd_152-54,37.52173012,9.891933817,6.042061957,16.64167556,9.708127315,13.02984285,8.860494276,23.95775384,8.755062574,10.62454477,5.829812868,8.189136999,3
fpt2,Li_fpt2,9.528448545,13.24975357,12.23598628,15.31656552,11.36583449,11.3769893,12.62585339,8.726499075,8.822559016,13.91254354,11.36906115,13.73641909,3
fpt2,B_fpt2,122.7657791,0,93.44670847,77.17399331,38.41742623,83.54337327,22.59208442,181.4875956,75.95869712,80.19686735,158.1248472,146.7823861,3
fpt2,Na_fpt2,2643.724452,2501.368828,2626.815017,2592.530249,2171.73475,2399.940211,3821.7891,2650.968908,2029.930699,2456.544828,2498.960576,2870.129842,3
fpt2,Mg_fpt2,31639.48941,27660.75391,32497.93073,29751.75675,32037.16296,31849.20656,33600.316,30619.39844,30885.50472,32311.31035,30899.28468,26508.68301,3
fpt2,P_fpt2,16416.77281,15290.95131,15407.71762,16251.68216,16460.08302,14740.54187,19957.67175,21869.31424,23577.7542,15446.71187,18365.40647,18676.31831,3
fpt2,K_fpt2,86224.05894,86119.79182,78364.8796,71960.9868,84949.42434,84270.62788,95754.80825,122465.8012,122232.3862,86723.64701,72307.97319,100100.8968,3
fpt2,Ca_fpt2,69843.28783,59158.67107,65443.01116,57181.84463,69462.90881,76316.28059,73570.28049,61910.97317,63211.60542,62904.65226,64046.33137,62055.85533,3
fpt2,Mn_fpt2,146.0468751,151.3948434,137.1385393,145.4805013,140.737106,149.1781018,118.7376429,130.0130437,134.892169,126.6345295,135.2750811,141.4218323,3
fpt2,Fe_fpt2,172.6881292,395.833683,170.6747668,125.219641,153.506689,150.08717,159.4512932,151.2986259,140.4362808,143.0640094,143.6111521,148.9787241,3
fpt2,Co_fpt2,1.212657085,2.081588938,1.45778381,3.0079585,1.305938911,1.368602268,2.81214099,1.265931994,1.301338368,1.715717826,1.886780361,2.296476134,3
fpt2,Ni_fpt2,2.428314311,2.269840744,2.533974613,2.2415928,2.311203954,2.749931492,2.91508056,2.47879744,2.567316654,11.08052133,2.370570197,2.704101578,3
fpt2,Cu_fpt2,4.108993428,2.233055909,4.194870489,0.457777211,6.104041792,3.848995021,0.947884368,5.876825424,8.992811268,4.853823496,3.270419292,1.421663536,3
fpt2,Zn_fpt2,77.1036296,84.82150351,81.81323746,74.00319554,96.99449197,74.72541113,77.14165333,101.0622933,125.0262693,76.25829341,100.9632173,94.29363021,3
fpt2,As_fpt2,0.356896801,0.301347144,0.570305338,0.423865798,0.330378998,0.289492788,0.242811337,0.201593921,0.274368053,1.326736762,0.535145988,0.215129447,3
fpt2,Se_fpt2,1.516871406,0.483684526,0.530137653,0.652969372,1.3466929,0.470442826,0,1.609685302,0.211942227,0.685311865,0.860401616,0.973461678,3
fpt2,Mo_fpt2,0.212229991,0.184429068,0.30607018,0.139837556,0.390287361,0.331446288,0.177140093,0.413978041,0.684937907,0.343106055,0.272485322,0.191751476,3
